Date,Open,High,Low,Close,Volume,EMA4,EMA9,EMA18,RSI,STOCHRSIK,STOCHRSID,MACDs,MACDh,MACD,BBUPPER,BBMIDDLE,BBLOWER,ADX
2022-01-23 06:30:00,2540.23,2556.78,2528.41,2532.46,9432.36,2527.73,2512.21,2490.98,70.0,91.0,95.0,21.0,5.0,26.0,2548.73,2477.27,2405.81,39.25
2022-01-23 06:45:00,2532.46,2541.28,2527.0,2534.63,5908.56,2530.49,2516.69,2495.57,71.0,84.0,92.0,22.0,5.0,27.0,2555.06,2481.86,2408.67,41.07
2022-01-23 07:00:00,2534.53,2536.85,2520.0,2528.31,9557.95,2529.62,2519.02,2499.02,67.0,66.0,81.0,23.0,3.0,26.0,2558.68,2486.43,2414.17,42.09
2022-01-23 07:15:00,2528.31,2528.76,2508.22,2525.93,7562.32,2528.14,2520.4,2501.85,66.0,53.0,68.0,24.0,2.0,26.0,2558.2,2491.74,2425.27,42.02
2022-01-23 07:30:00,2525.92,2532.22,2520.9,2529.6,2630.15,2528.73,2522.24,2504.77,67.0,40.0,53.0,24.0,1.0,25.0,2557.45,2496.83,2436.22,42.08
2022-01-23 07:45:00,2529.6,2537.72,2516.03,2533.92,7616.69,2530.8,2524.57,2507.84,68.0,42.0,45.0,24.0,0.0,24.0,2557.62,2501.48,2445.34,42.31
2022-01-23 08:00:00,2533.8,2535.99,2526.97,2528.67,3778.07,2529.95,2525.39,2510.03,65.0,39.0,40.0,24.0,-0.0,23.0,2559.55,2504.38,2449.22,42.54
2022-01-23 08:15:00,2528.53,2530.5,2508.08,2510.04,5854.51,2521.99,2522.32,2510.03,56.0,25.0,35.0,23.0,-2.0,21.0,2558.23,2506.77,2455.32,41.13
2022-01-23 08:30:00,2510.04,2510.05,2491.5,2499.32,8170.06,2512.92,2517.72,2508.91,51.0,8.0,24.0,22.0,-4.0,18.0,2556.02,2508.59,2461.16,38.69
2022-01-23 08:45:00,2499.32,2506.75,2495.67,2498.26,2451.66,2507.06,2513.83,2507.79,51.0,-0.0,11.0,21.0,-6.0,15.0,2552.45,2510.53,2468.61,36.43
2022-01-23 09:00:00,2498.26,2505.0,2486.42,2487.88,5354.93,2499.39,2508.64,2505.69,46.0,-0.0,3.0,19.0,-7.0,12.0,2549.38,2511.72,2474.06,33.91
2022-01-23 09:15:00,2487.87,2503.76,2482.65,2495.91,5838.0,2498.0,2506.09,2504.66,50.0,5.0,2.0,17.0,-7.0,10.0,2548.95,2512.09,2475.24,31.8
